Number,name,latitude,longitude,,,"'254,253,104,111,211,171,191,178,213,157,187,109,144,158,83,170,247,47,139,121,212'"
,FivePoints,36.336222,-120.11291,,,
,Shafter,35.532556,-119.28179,,,
,Davis,38.535694,-121.77636,,,
,Firebaugh/Telles,36.851222,-120.59092,,,
,Durham,39.608639,-121.82443,,,
,Camino,38.753136,-120.7336,,,
,Stratford,36.157972,-119.85143,,,
,Bishop,37.358514,-118.40553,,,
,Parlier,36.597444,-119.50404,,,
,Calipatria/Mulberry,33.042986,-115.41585,,,
,McArthur,41.063767,-121.45602,,,
,U.C. Riverside,33.964942,-117.33698,,,
47,Brentwood,37.928258,-121.6599,,,
,San Luis Obispo,35.305442,-120.66178,,,
,Blackwells Corner,35.649861,-119.9593,,,
,Los Banos,37.096694,-120.7539,,,
,Buntingville,40.289799,-120.433948,,,
,Temecula,33.48665,-117.22827,,,
,Santa Ynez,34.583144,-120.07924,,,
,Seeley,32.759575,-115.73207,,,
,Manteca,37.834822,-121.22319,,,
,Modesto,37.645222,-121.18776,,,
,Irvine,33.68845,-117.72118,,,
77,Oakville,38.428475,-122.41021,,,
,Pomona,34.056589,-117.81307,,,
,Fresno State,36.820833,-119.74231,,,
83,Santa Rosa,38.40355,-122.79993,,,
,Browns Valley,39.252561,-121.31567,,,
,Lindcove,36.3605,-119.05935,,,
,Meloland,32.806183,-115.44626,,,
,Cuyama,34.942525,-119.6738,,,
,Alturas,41.438214,-120.48031,,,
,Tulelake FS,41.958869,-121.47237,,,
,Kesterson,37.231861,-120.88082,,,
,Santa Monica,34.044311,-118.47689,,,
103,Windsor,38.52665,-122.813758,,,
104,De Laveaga,36.997444,-121.99676,,,
,Westlands,36.634028,-120.38181,,,
,Sanel Valley,38.982581,-123.08928,,,
,Santa Barbara,34.437353,-119.73742,,,
109,Carneros,38.219503,-122.35496,,,
111,Green Valley Road,36.943964,-121.76394,,,
,King City-Oasis Rd.,36.121083,-121.08457,,,
,Arroyo Seco,36.347306,-121.29135,,,
,Salinas North,36.716806,-121.69189,,,
,Victorville,34.475914,-117.26351,,,
121,Dixon,38.415564,-121.78691,,,
,Panoche,36.890056,-120.73141,,,
,Arvin-Edison,35.205583,-118.77841,,,
,San Benito,36.854833,-121.36275,,,
,Pajaro,36.902778,-121.74193,,,
,Fair Oaks,38.649964,-121.21887,,,
,Blythe NE,33.662869,-114.55811,,,
,Oasis,33.523694,-116.15575,,,
139,Winters,38.501258,-121.97853,,,
,Twitchell Island,38.121739,-121.674455,,,
,Orange Cove,36.721083,-119.38903,,,
,San Juan Valley,36.822861,-121.46787,,,
144,Petaluma East,38.266428,-122.61646,,,
,Belridge,35.505833,-119.69114,,,
,Otay Lake,32.628208,-116.93928,,,
,Merced,37.314139,-120.3867,,,
,Miramar,32.885847,-117.14314,,,
,Ripley,33.532222,-114.63389,,,
,Camarillo,34.219386,-118.99244,,,
,Escondido SPV,33.08105,-116.9757,,,
,Bryte (experimental),38.599158,-121.54041,,,
157,Point San Pedro,37.995478,-122.467656,,,
158,Bennett Valley,38.419439,-122.65872,,,
,Monrovia,34.146372,-117.9858,,,
,San Luis Obispo West,35.335261,-120.73588,,,
,Atascadero,35.472556,-120.64814,,,
,Sisquoc,34.841878,-120.21274,,,
,Porterville,36.082056,-119.09342,,,
,Concord,38.015372,-122.02028,,,
171,Union City,37.598758,-122.05323,,,
,Torrey Pines,32.901867,-117.25046,,,
,Long Beach,33.798697,-118.09479,,,
,Palo Verde II,33.383697,-114.71921,,,
178,Moraga,37.837614,-122.14074,,,
,Winchester,33.663325,-117.09338,,,
,Westmorland North,33.078611,-115.66056,,,
,Delano,35.833,-119.25596,,,
,Owens Lake North,36.488611,-117.91944,,,
,San Diego II,32.729578,-117.13934,,,
187,Black Point,38.090933,-122.5267,,,
,Owens Lake South,36.358628,-117.94387,,,
191,Pleasanton,37.663969,-121.88503,,,
,Lake Arrowhead,34.255942,-117.21814,,,
,Pacific Grove,36.633222,-121.93486,,,
,Oakdale,37.727194,-120.85086,,,
,Auburn,38.887603,-121.10291,,,
,Palmdale,34.614981,-118.03249,,,
,Santa Paula,34.324639,-119.10488,,,
,Big Bear Lake,34.237419,-116.86571,,,
,Indio 2,33.748586,-116.2529,,,
,Nipomo,35.028281,-120.56003,,,
,Santa Clarita,34.426361,-118.51758,,,
,Coalinga,36.175833,-120.36027,,,
,Denair II,37.545869,-120.75453,,,
,Borrego Springs,33.268447,-116.36505,,,
,La Quinta II,33.678186,-116.27299,,,
,Watsonville West II,36.913083,-121.82365,,,
,Carmel,36.540889,-121.88196,,,
211,Gilroy,37.015026,-121.53704,,,
212,Hastings Tract East,38.278056,-121.74111,,,
213,El Cerrito,37.931539,-122.302714,,,
,Salinas South II,36.625619,-121.537889,,,
,Chatsworth,34.291331,-118.57004,,,
,Arleta,34.256111,-118.38278,,,
,Moorpark,34.269031,-118.849319,,,
,Thermal South,33.595694,-116.15811,,,
,West Hills,34.214197,-118.64477,,,
,Palmdale Central,34.592222,-118.1275,,,
,Cadiz Valley,34.513611,-115.51056,,,
,Gerber South,40.028778,-122.15575,,,
,North Hollywood,34.142911,-118.36632,,,
,Shasta College,40.63,-122.31,,,
,Scott Valley,41.577778,-122.838125,,,
,Woodland,38.672722,-121.81172,,,
,Plymouth,38.508333,-120.79972,,,
,Diamond Springs,38.636111,-120.79305,,,
,Laguna Seca,36.570111,-121.7865,,,
,Lompoc,34.672222,-120.51306,,,
,Santa Maria II,34.913472,-120.46478,,,
,Joshua Tree,34.138147,-116.21319,,,
,Newberry Springs II,34.883472,-116.810247,,,
,Verona,38.797944,-121.61136,,,
,Macdoel II,41.802476,-121.996159,,,
,Temecula East III,33.55281,-117.043302,,,
